"iditem_liquidacion_final"|"fecha_creado"|"creado_por"|"orden"|"descripcion"|"comprobante_nro"|"total_guarani"|"sin_iva"|"solo_iva"|"fk_idliquidacion_final"|"fk_idcomprobante_liquidacion"
21|"2022-02-04 16:33:40.119"|"1-Digno Alfredo"|19|"OTROS"|"x"|0|0|0|2|20
22|"2022-02-17 12:03:18.316"|"1-Digno Alfredo"|1|"DERECHO ADUANERO"|"6467456"|0|0|0|3|2
23|"2022-02-17 12:03:18.324"|"1-Digno Alfredo"|2|"INDI"|"6467456"|0|0|0|3|3
24|"2022-02-17 12:03:18.33"|"1-Digno Alfredo"|3|"I.S.C."|"6467456"|0|0|0|3|4
25|"2022-02-17 12:03:18.339"|"1-Digno Alfredo"|4|"SERVICIO DE VALORACION"|"6467456"|0|0|0|3|5
26|"2022-02-17 12:03:18.35"|"1-Digno Alfredo"|5|"MULTAS VARIAS"|"6467456"|0|0|0|3|6
27|"2022-02-17 12:03:18.356"|"1-Digno Alfredo"|6|"IRACIS GENERAL 700"|"6467456"|0|0|0|3|7
28|"2022-02-17 12:03:18.363"|"1-Digno Alfredo"|7|"I.V.A."|"6467456"|0|0|0|3|8
29|"2022-02-17 12:03:18.369"|"1-Digno Alfredo"|8|"CANON INFORMATICO"|"x"|0|0|0|3|9
30|"2022-02-17 12:03:18.379"|"1-Digno Alfredo"|9|"CDAP/ANNP"|"x"|0|0|0|3|10
31|"2022-02-17 12:03:18.386"|"1-Digno Alfredo"|10|"SERVICIOS SOFIA / ANNP"|"x"|0|0|0|3|11
32|"2022-02-17 12:03:18.391"|"1-Digno Alfredo"|11|"FOTOCOPIAS"|"x"|0|0|0|3|12
33|"2022-02-17 12:03:18.397"|"1-Digno Alfredo"|12|"APERTURA AG. TRANSP."|"x"|0|0|0|3|13
34|"2022-02-17 12:03:18.403"|"1-Digno Alfredo"|13|"TASA PORTUARIA"|"x"|0|0|0|3|14
35|"2022-02-17 12:03:18.413"|"1-Digno Alfredo"|14|"VISACION DCTOS"|"x"|0|0|0|3|15
36|"2022-02-17 12:03:18.424"|"1-Digno Alfredo"|15|"HON. DESP. S/ LEY 220/93"|"x"|10|9|0|3|16
37|"2022-02-17 12:03:18.431"|"1-Digno Alfredo"|16|"GASTO ADMIN."|"x"|0|0|0|3|17
38|"2022-02-17 12:03:18.439"|"1-Digno Alfredo"|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|3|18
39|"2022-02-17 12:03:18.447"|"1-Digno Alfredo"|18|"AGILIZACION MIC"|"x"|0|0|0|3|19
40|"2022-02-17 12:03:18.453"|"1-Digno Alfredo"|19|"OTROS"|"x"|0|0|0|3|20
41|"2022-02-17 13:37:21.558"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04000981N"|16534|16534|0|4|2
42|"2022-02-17 13:37:21.574"|"5-Angel Rios "|2|"INDI"|"22005IC04000981N"|26950|26950|0|4|3
43|"2022-02-17 13:37:21.59"|"5-Angel Rios "|3|"I.S.C."|"22005IC04000981N"|0|0|0|4|4
44|"2022-02-17 13:37:21.59"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04000981N"|4143889|4143889|0|4|5
45|"2022-02-17 13:37:21.59"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IC04000981N"|0|0|0|4|6
46|"2022-02-17 13:37:21.605"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IC04000981N"|3333399|3333399|0|4|7
47|"2022-02-17 13:37:21.621"|"5-Angel Rios "|7|"I.V.A."|"22005IC04000981N"|83334996|0|83334996|4|8
48|"2022-02-17 13:37:21.637"|"5-Angel Rios "|8|"CANON INFORMATICO"|"x"|220127|220127|0|4|9
49|"2022-02-17 13:37:21.652"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0044385"|6978|6343|634|4|10
50|"2022-02-17 13:37:21.668"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0175735"|94323|85748|8574|4|11
51|"2022-02-17 13:37:21.668"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017172"|110000|100000|10000|4|12
52|"2022-02-17 13:37:21.683"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|4|13
53|"2022-02-17 13:37:21.69"|"5-Angel Rios "|13|"TASA PORTUARIA"|"x"|0|0|0|4|14
54|"2022-02-17 13:37:21.69"|"5-Angel Rios "|14|"VISACION DCTOS"|"x"|0|0|0|4|15
55|"2022-02-17 13:37:21.706"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"x"|0|0|0|4|16
56|"2022-02-17 13:37:21.721"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|4|17
57|"2022-02-17 13:37:21.721"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|4|18
58|"2022-02-17 13:37:21.737"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|4|19
59|"2022-02-17 13:37:21.752"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|4|20
60|"2022-04-27 14:14:21.057"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04008320X"|0|0|0|5|2
61|"2022-04-27 14:14:21.062"|"5-Angel Rios "|2|"INDI"|"22005IC04008320X"|26950|26950|0|5|3
62|"2022-04-27 14:14:21.076"|"5-Angel Rios "|3|"I.S.C."|"22005IC04008320X"|0|0|0|5|4
63|"2022-04-27 14:14:21.081"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04008320X"|3168096|3168096|0|5|5
64|"2022-04-27 14:14:21.089"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IC04008320X"|0|0|0|5|6
65|"2022-04-27 14:14:21.094"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IC04008320X"|2548798|2548798|0|5|7
66|"2022-04-27 14:14:21.103"|"5-Angel Rios "|7|"I.V.A."|"22005IC04008320X"|63719942|0|63719942|5|8
67|"2022-04-27 14:14:21.109"|"5-Angel Rios "|8|"CANON INFORMATICO"|"3576574"|220127|220127|0|5|9
68|"2022-04-27 14:14:21.115"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0096979"|6821|6200|620|5|10
69|"2022-04-27 14:14:21.122"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0044753"|75489|68626|6862|5|11
70|"2022-04-27 14:14:21.131"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017605"|70000|63636|6363|5|12
71|"2022-04-27 14:14:21.138"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|5|13
72|"2022-04-27 14:14:21.144"|"5-Angel Rios "|13|"TASA PORTUARIA"|"002-007-0106388"|3019546|2745041|274504|5|14
73|"2022-04-27 14:14:21.149"|"5-Angel Rios "|14|"VISACION DCTOS"|"2874616/17/18/19/20"|723600|723600|0|5|15
423|"2022-05-10 15:42:14.584"|"5-Angel Rios "|14|"VISACION DCTOS"|"x"|0|0|0|23|15
74|"2022-04-27 14:14:21.155"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001961"|5077302|4615729|461572|5|16
75|"2022-04-27 14:14:21.161"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|5|17
76|"2022-04-27 14:14:21.166"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|5|18
77|"2022-04-27 14:14:21.173"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|5|19
78|"2022-04-27 14:14:21.18"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|5|20
79|"2022-04-27 15:11:59.523"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IM04000192R"|1177987|1177987|0|6|2
80|"2022-04-27 15:11:59.535"|"5-Angel Rios "|2|"INDI"|"22005IM04000192R"|14325|14325|0|6|3
81|"2022-04-27 15:11:59.541"|"5-Angel Rios "|3|"ARANC CONS FACTURA"|"22005IM04000192R"|102321|102321|0|6|4
82|"2022-04-27 15:11:59.546"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IM04000192R"|58899|58899|0|6|5
83|"2022-04-27 15:11:59.553"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IM04000192R"|0|0|0|6|6
84|"2022-04-27 15:11:59.58"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IM04000192R"|52943|52943|0|6|7
85|"2022-04-27 15:11:59.593"|"5-Angel Rios "|7|"I.V.A."|"22005IM04000192R"|1323574|0|1323574|6|8
86|"2022-04-27 15:11:59.607"|"5-Angel Rios "|8|"CANON INFORMATICO"|"3576625"|44025|44025|0|6|9
87|"2022-04-27 15:11:59.625"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0096977"|6821|6200|620|6|10
88|"2022-04-27 15:11:59.638"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0044752"|1697|1542|154|6|11
89|"2022-04-27 15:11:59.644"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017604"|70000|63636|6363|6|12
90|"2022-04-27 15:11:59.649"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|6|13
91|"2022-04-27 15:11:59.655"|"5-Angel Rios "|13|"TASA PORTUARIA"|"002-007-0106387"|67869|61699|6169|6|14
92|"2022-04-27 15:11:59.662"|"5-Angel Rios "|14|"VISACION DCTOS"|"2874618"|112590|112590|0|6|15
93|"2022-04-27 15:11:59.671"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001962"|1441000|1310000|131000|6|16
94|"2022-04-27 15:11:59.677"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|6|17
95|"2022-04-27 15:11:59.683"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|6|18
96|"2022-04-27 15:11:59.689"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|6|19
97|"2022-04-27 15:11:59.697"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|6|20
98|"2022-04-27 15:41:48.632"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04008254Y"|0|0|0|7|2
99|"2022-04-27 15:41:48.64"|"5-Angel Rios "|2|"INDI"|"22005IC04008254Y"|26950|26950|0|7|3
100|"2022-04-27 15:41:48.645"|"5-Angel Rios "|3|"I.S.C."|"22005IC04008254Y"|0|0|0|7|4
101|"2022-04-27 15:41:48.651"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04008254Y"|666198|666198|0|7|5
102|"2022-04-27 15:41:48.656"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IC04008254Y"|0|0|0|7|6
103|"2022-04-27 15:41:48.663"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IC04008254Y"|537271|537271|0|7|7
104|"2022-04-27 15:41:48.671"|"5-Angel Rios "|7|"I.V.A."|"22005IC04008254Y"|13431769|0|13431769|7|8
105|"2022-04-27 15:41:48.677"|"5-Angel Rios "|8|"CANON INFORMATICO"|"3580195"|220127|220127|0|7|9
106|"2022-04-27 15:41:48.693"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0096525"|6821|6200|620|7|10
107|"2022-04-27 15:41:48.7"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0044302"|19551|17773|1777|7|11
108|"2022-04-27 15:41:48.705"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017606"|70000|63636|6363|7|12
109|"2022-04-27 15:41:48.713"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|7|13
110|"2022-04-27 15:41:48.723"|"5-Angel Rios "|13|"TASA PORTUARIA"|"002-007-0106214"|782054|710958|71095|7|14
111|"2022-04-27 15:41:48.733"|"5-Angel Rios "|14|"VISACION DCTOS"|"x"|0|0|0|7|15
112|"2022-04-27 15:41:48.739"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001963"|3119818|2836198|283619|7|16
113|"2022-04-27 15:41:48.746"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|7|17
114|"2022-04-27 15:41:48.751"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|7|18
115|"2022-04-27 15:41:48.759"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|7|19
116|"2022-04-27 15:41:48.767"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|7|20
117|"2022-04-27 15:43:47.545"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04008254Y"|0|0|0|8|2
118|"2022-04-27 15:43:47.573"|"5-Angel Rios "|2|"INDI"|"22005IC04008254Y"|26950|26950|0|8|3
119|"2022-04-27 15:43:47.631"|"5-Angel Rios "|3|"I.S.C."|"22005IC04008254Y"|0|0|0|8|4
120|"2022-04-27 15:43:47.722"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04008254Y"|666198|666198|0|8|5
121|"2022-04-27 15:43:47.885"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IC04008254Y"|0|0|0|8|6
122|"2022-04-27 15:43:47.952"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IC04008254Y"|537271|537271|0|8|7
123|"2022-04-27 15:43:47.959"|"5-Angel Rios "|7|"I.V.A."|"22005IC04008254Y"|13431769|0|13431769|8|8
124|"2022-04-27 15:43:47.963"|"5-Angel Rios "|8|"CANON INFORMATICO"|"3580195"|220127|220127|0|8|9
125|"2022-04-27 15:43:47.969"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0096525"|6821|6200|620|8|10
126|"2022-04-27 15:43:47.975"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0044302"|19551|17773|1777|8|11
127|"2022-04-27 15:43:47.985"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017606"|70000|63636|6363|8|12
128|"2022-04-27 15:43:47.993"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|8|13
129|"2022-04-27 15:43:47.998"|"5-Angel Rios "|13|"TASA PORTUARIA"|"002-007-0106214"|782054|710958|71095|8|14
130|"2022-04-27 15:43:48.003"|"5-Angel Rios "|14|"VISACION DCTOS"|"x"|0|0|0|8|15
131|"2022-04-27 15:43:48.01"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001963"|3119818|2836198|283619|8|16
132|"2022-04-27 15:43:48.015"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|8|17
133|"2022-04-27 15:43:48.019"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|8|18
134|"2022-04-27 15:43:48.025"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|8|19
135|"2022-04-27 15:43:48.029"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|8|20
136|"2022-04-28 14:09:38.888"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04008374R"|951469|951469|0|9|2
137|"2022-04-28 14:09:38.895"|"5-Angel Rios "|2|"INDI"|"22005IC04008374R"|26950|26950|0|9|3
138|"2022-04-28 14:09:38.9"|"5-Angel Rios "|3|"I.S.C."|"22005IC04008374R"|372286|372286|0|9|4
139|"2022-04-28 14:09:38.905"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04008374R"|357678|357678|0|9|5
140|"2022-04-28 14:09:38.91"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IC04008374R"|0|0|0|9|6
141|"2022-04-28 14:09:38.915"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IC04008374R"|294517|294517|0|9|7
142|"2022-04-28 14:09:38.925"|"5-Angel Rios "|7|"I.V.A."|"22005IC04008374R"|7362911|0|7362911|9|8
143|"2022-04-28 14:09:38.93"|"5-Angel Rios "|8|"CANON INFORMATICO"|"3580195"|220127|220127|0|9|9
144|"2022-04-28 14:09:38.936"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0097406"|6841|6219|621|9|10
145|"2022-04-28 14:09:38.944"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0045187"|10601|9637|963|9|11
146|"2022-04-28 14:09:38.949"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017618"|170000|154545|15454|9|12
147|"2022-04-28 14:09:38.954"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|9|13
148|"2022-04-28 14:09:38.959"|"5-Angel Rios "|13|"TASA PORTUARIA"|"002-007-0106636"|424027|385479|38547|9|14
149|"2022-04-28 14:09:38.965"|"5-Angel Rios "|14|"VISACION DCTOS"|"x"|0|0|0|9|15
150|"2022-04-28 14:09:38.97"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001964"|2136515|1942286|194228|9|16
151|"2022-04-28 14:09:38.979"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|9|17
152|"2022-04-28 14:09:38.987"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|9|18
153|"2022-04-28 14:09:38.993"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|9|19
154|"2022-04-28 14:09:38.998"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|9|20
155|"2022-04-28 14:10:36.547"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04008374R"|951469|951469|0|10|2
156|"2022-04-28 14:10:36.557"|"5-Angel Rios "|2|"INDI"|"22005IC04008374R"|26950|26950|0|10|3
157|"2022-04-28 14:10:36.562"|"5-Angel Rios "|3|"I.S.C."|"22005IC04008374R"|372286|372286|0|10|4
158|"2022-04-28 14:10:36.568"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04008374R"|357678|357678|0|10|5
159|"2022-04-28 14:10:36.577"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IC04008374R"|0|0|0|10|6
160|"2022-04-28 14:10:36.582"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IC04008374R"|294517|294517|0|10|7
161|"2022-04-28 14:10:36.587"|"5-Angel Rios "|7|"I.V.A."|"22005IC04008374R"|7362911|0|7362911|10|8
162|"2022-04-28 14:10:36.596"|"5-Angel Rios "|8|"CANON INFORMATICO"|"3580195"|220127|220127|0|10|9
163|"2022-04-28 14:10:36.601"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0097406"|6841|6219|621|10|10
164|"2022-04-28 14:10:36.607"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0045187"|10601|9637|963|10|11
165|"2022-04-28 14:10:36.611"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017618"|170000|154545|15454|10|12
166|"2022-04-28 14:10:36.621"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|10|13
167|"2022-04-28 14:10:36.627"|"5-Angel Rios "|13|"TASA PORTUARIA"|"002-007-0106636"|424027|385479|38547|10|14
168|"2022-04-28 14:10:36.632"|"5-Angel Rios "|14|"VISACION DCTOS"|"x"|0|0|0|10|15
169|"2022-04-28 14:10:36.64"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001964"|2136515|1942286|194228|10|16
170|"2022-04-28 14:10:36.644"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|10|17
171|"2022-04-28 14:10:36.649"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|10|18
172|"2022-04-28 14:10:36.654"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|10|19
173|"2022-04-28 14:10:36.659"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|10|20
174|"2022-04-28 14:14:45.63"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04008254Y"|0|0|0|11|2
175|"2022-04-28 14:14:45.636"|"5-Angel Rios "|2|"INDI"|"22005IC04008254Y"|26950|26950|0|11|3
176|"2022-04-28 14:14:45.644"|"5-Angel Rios "|3|"I.S.C."|"22005IC04008254Y"|0|0|0|11|4
177|"2022-04-28 14:14:45.65"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04008254Y"|666198|666198|0|11|5
178|"2022-04-28 14:14:45.656"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22005IC04008254Y"|0|0|0|11|6
179|"2022-04-28 14:14:45.661"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22005IC04008254Y"|537271|537271|0|11|7
180|"2022-04-28 14:14:45.667"|"5-Angel Rios "|7|"I.V.A."|"22005IC04008254Y"|13431769|0|13431769|11|8
181|"2022-04-28 14:14:45.678"|"5-Angel Rios "|8|"CANON INFORMATICO"|"3580195"|220127|220127|0|11|9
182|"2022-04-28 14:14:45.686"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-025-0096525"|6821|6200|620|11|10
183|"2022-04-28 14:14:45.692"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0044302"|19551|17773|1777|11|11
184|"2022-04-28 14:14:45.699"|"5-Angel Rios "|11|"FOTOCOPIAS"|"001-002-0017606"|70000|63636|6363|11|12
185|"2022-04-28 14:14:45.706"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"x"|0|0|0|11|13
186|"2022-04-28 14:14:45.721"|"5-Angel Rios "|13|"TASA PORTUARIA"|"002-007-0106214"|782054|710958|71095|11|14
187|"2022-04-28 14:14:45.726"|"5-Angel Rios "|14|"VISACION DCTOS"|"x"|0|0|0|11|15
188|"2022-04-28 14:14:45.731"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001963"|3119818|2836198|283619|11|16
189|"2022-04-28 14:14:45.738"|"5-Angel Rios "|16|"GASTO ADMIN."|"x"|0|0|0|11|17
190|"2022-04-28 14:14:45.744"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|11|18
191|"2022-04-28 14:14:45.75"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|11|19
192|"2022-04-28 14:14:45.756"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|11|20
193|"2022-05-03 16:00:55.564"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22009IC04000587T"|0|0|0|12|2
194|"2022-05-03 16:00:55.57"|"5-Angel Rios "|2|"INDI"|"22009IC04000587T"|45501|45501|0|12|3
195|"2022-05-03 16:00:55.576"|"5-Angel Rios "|3|"I.S.C."|"22009IC04000587T"|0|0|0|12|4
196|"2022-05-03 16:00:55.58"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22009IC04000587T"|584176|584176|0|12|5
197|"2022-05-03 16:00:55.586"|"5-Angel Rios "|5|"MULTAS VARIAS"|"22009IC04000587T"|0|0|0|12|6
198|"2022-05-03 16:00:55.591"|"5-Angel Rios "|6|"IRACIS GENERAL 700"|"22009IC04000587T"|472458|472458|0|12|7
199|"2022-05-03 16:00:55.596"|"5-Angel Rios "|7|"I.V.A."|"22009IC04000587T"|11811461|0|11811461|12|8
200|"2022-05-03 16:00:55.605"|"5-Angel Rios "|8|"CANON INFORMATICO"|"22009IC04000587T"|220127|220127|0|12|9
201|"2022-05-03 16:00:55.609"|"5-Angel Rios "|9|"CDAP/ANNP"|"001-024-0095024"|10000|9090|909|12|10
202|"2022-05-03 16:00:55.614"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"x"|0|0|0|12|11
203|"2022-05-03 16:00:55.619"|"5-Angel Rios "|11|"FOTOCOPIAS"|"016-003-0000347"|70000|63636|6363|12|12
204|"2022-05-03 16:00:55.625"|"5-Angel Rios "|12|"APERTURA AG. TRANSP."|"001-001-0004349"|350000|318181|31818|12|13
205|"2022-05-03 16:00:55.629"|"5-Angel Rios "|13|"TASA PORTUARIA"|"009-005-0013356"|844993|768175|76817|12|14
206|"2022-05-03 16:00:55.637"|"5-Angel Rios "|14|"VISACION DCTOS"|"275722/23/24/25"|964600|964600|0|12|15
207|"2022-05-03 16:00:55.642"|"5-Angel Rios "|15|"HON. DESP. S/ LEY 220/93"|"001-001-0001965"|4393593|3994175|399417|12|16
208|"2022-05-03 16:00:55.65"|"5-Angel Rios "|16|"GASTO ADMIN."|"565"|1300000|1300000|0|12|17
209|"2022-05-03 16:00:55.655"|"5-Angel Rios "|17|"TASA MIC LPI CONFECCIONES"|"x"|0|0|0|12|18
210|"2022-05-03 16:00:55.66"|"5-Angel Rios "|18|"AGILIZACION MIC"|"x"|0|0|0|12|19
211|"2022-05-03 16:00:55.665"|"5-Angel Rios "|19|"OTROS"|"x"|0|0|0|12|20
